original_number,capture_iteration,capture_state,capture_number
841,26,EVEN,44
841,27,EVEN,22
841,28,ODD,11
841,29,EVEN,34
841,30,ODD,17
841,31,EVEN,52
841,32,EVEN,26
841,33,ODD,13
841,34,EVEN,40
841,35,EVEN,20
841,36,EVEN,10
841,37,ODD,5
841,38,EVEN,16
841,39,EVEN,8
841,40,EVEN,4
841,41,EVEN,2
841,42,END,1
817,1,ODD,817
817,2,EVEN,2452
817,3,EVEN,1226
817,4,ODD,613
817,5,EVEN,1840
817,6,EVEN,920
817,7,EVEN,460
817,8,EVEN,230
817,9,ODD,115
817,10,EVEN,346
817,11,ODD,173
817,12,EVEN,520
817,13,EVEN,260
817,14,EVEN,130
817,15,ODD,65
817,16,EVEN,196
817,17,EVEN,98
817,18,ODD,49
817,19,EVEN,148
817,20,EVEN,74
817,21,ODD,37
817,22,EVEN,112
817,23,EVEN,56
817,24,EVEN,28
817,25,EVEN,14
817,26,ODD,7
817,27,EVEN,22
817,28,ODD,11
817,29,EVEN,34
817,30,ODD,17
817,31,EVEN,52
817,32,EVEN,26
817,33,ODD,13
817,34,EVEN,40
817,35,EVEN,20
817,36,EVEN,10
817,37,ODD,5
817,38,EVEN,16
817,39,EVEN,8
817,40,EVEN,4
817,41,EVEN,2
817,42,END,1
867,1,ODD,867
867,2,EVEN,2602
867,3,ODD,1301
867,4,EVEN,3904
867,5,EVEN,1952
867,6,EVEN,976
867,7,EVEN,488
867,8,EVEN,244
867,9,EVEN,122
867,10,ODD,61
867,11,EVEN,184
867,12,EVEN,92
867,13,EVEN,46
867,14,ODD,23
867,15,EVEN,70
867,16,ODD,35
867,17,EVEN,106
867,18,ODD,53
867,19,EVEN,160
867,20,EVEN,80
867,21,EVEN,40
867,22,EVEN,20
867,23,EVEN,10
867,24,ODD,5
867,25,EVEN,16
867,26,EVEN,8
867,27,EVEN,4
867,28,EVEN,2
867,29,END,1
813,1,ODD,813
813,2,EVEN,2440
813,3,EVEN,1220
813,4,EVEN,610
813,5,ODD,305
813,6,EVEN,916
813,7,EVEN,458
813,8,ODD,229
813,9,EVEN,688
813,10,EVEN,344
813,11,EVEN,172
813,12,EVEN,86
813,13,ODD,43
813,14,EVEN,130
813,15,ODD,65
813,16,EVEN,196
813,17,EVEN,98
813,18,ODD,49
813,19,EVEN,148
813,20,EVEN,74
813,21,ODD,37
813,22,EVEN,112
813,23,EVEN,56
813,24,EVEN,28
813,25,EVEN,14
813,26,ODD,7
813,27,EVEN,22
813,28,ODD,11
813,29,EVEN,34
813,30,ODD,17
813,31,EVEN,52
813,32,EVEN,26
813,33,ODD,13
813,34,EVEN,40
813,35,EVEN,20
813,36,EVEN,10
813,37,ODD,5
813,38,EVEN,16
813,39,EVEN,8
813,40,EVEN,4
813,41,EVEN,2
813,42,END,1
693,1,ODD,693
693,2,EVEN,2080
693,3,EVEN,1040
693,4,EVEN,520
693,5,EVEN,260
693,6,EVEN,130
693,7,ODD,65
693,8,EVEN,196
693,9,EVEN,98
693,10,ODD,49
693,11,EVEN,148
693,12,EVEN,74
693,13,ODD,37
693,14,EVEN,112
693,15,EVEN,56
693,16,EVEN,28
693,17,EVEN,14
693,18,ODD,7
693,19,EVEN,22
693,20,ODD,11
693,21,EVEN,34
693,22,ODD,17
693,23,EVEN,52
693,24,EVEN,26
693,25,ODD,13
693,26,EVEN,40
693,27,EVEN,20
693,28,EVEN,10
693,29,ODD,5
693,30,EVEN,16
693,31,EVEN,8
693,32,EVEN,4
693,33,EVEN,2
693,34,END,1
423,1,ODD,423
423,2,EVEN,1270
423,3,ODD,635
423,4,EVEN,1906
423,5,ODD,953
423,6,EVEN,2860
423,7,EVEN,1430
423,8,ODD,715
423,9,EVEN,2146
423,10,ODD,1073
423,11,EVEN,3220
423,12,EVEN,1610
423,13,ODD,805
423,14,EVEN,2416
423,15,EVEN,1208
423,16,EVEN,604
423,17,EVEN,302
423,18,ODD,151
423,19,EVEN,454
423,20,ODD,227
423,21,EVEN,682
423,22,ODD,341
423,23,EVEN,1024
423,24,EVEN,512
423,25,EVEN,256
423,26,EVEN,128
423,27,EVEN,64
423,28,EVEN,32
423,29,EVEN,16
423,30,EVEN,8
423,31,EVEN,4
423,32,EVEN,2
423,33,END,1
847,1,ODD,847
847,2,EVEN,2542
847,3,ODD,1271
847,4,EVEN,3814
847,5,ODD,1907
847,6,EVEN,5722
847,7,ODD,2861
847,8,EVEN,8584
847,9,EVEN,4292
847,10,EVEN,2146
847,11,ODD,1073
847,12,EVEN,3220
847,13,EVEN,1610
847,14,ODD,805
847,15,EVEN,2416
847,16,EVEN,1208
847,17,EVEN,604
847,18,EVEN,302
847,19,ODD,151
847,20,EVEN,454
847,21,ODD,227
847,22,EVEN,682
847,23,ODD,341
847,24,EVEN,1024
847,25,EVEN,512
847,26,EVEN,256
847,27,EVEN,128
847,28,EVEN,64
847,29,EVEN,32
847,30,EVEN,16
847,31,EVEN,8
847,32,EVEN,4
847,33,EVEN,2
847,34,END,1
723,1,ODD,723
723,2,EVEN,2170
723,3,ODD,1085
723,4,EVEN,3256
723,5,EVEN,1628
723,6,EVEN,814
723,7,ODD,407
723,8,EVEN,1222
723,9,ODD,611
723,10,EVEN,1834
723,11,ODD,917
723,12,EVEN,2752
723,13,EVEN,1376
723,14,EVEN,688
723,15,EVEN,344
723,16,EVEN,172
723,17,EVEN,86
723,18,ODD,43
723,19,EVEN,130
723,20,ODD,65
723,21,EVEN,196
723,22,EVEN,98
723,23,ODD,49
723,24,EVEN,148
723,25,EVEN,74
723,26,ODD,37
723,27,EVEN,112
723,28,EVEN,56
723,29,EVEN,28
723,30,EVEN,14
723,31,ODD,7
723,32,EVEN,22
723,33,ODD,11
723,34,EVEN,34
723,35,ODD,17
723,36,EVEN,52
723,37,EVEN,26
723,38,ODD,13
723,39,EVEN,40
723,40,EVEN,20
723,41,EVEN,10
723,42,ODD,5
723,43,EVEN,16
723,44,EVEN,8
723,45,EVEN,4
723,46,EVEN,2
723,47,END,1
